iter	Passed	Remaining
830	23999	10368
831	24009	10330
832	24018	10293
833	24027	10256
834	24036	10219
835	24045	10182
836	24055	10145
837	24063	10107
838	24072	10070
839	24080	10033
840	24089	9996
841	24099	9960
842	24108	9923
843	24117	9886
844	24125	9850
845	24134	9813
846	24143	9777
847	24152	9740
848	24161	9704
849	24170	9668
850	24179	9631
851	24187	9595
852	24196	9559
853	24205	9523
854	24214	9487
855	24222	9451
856	24232	9416
857	24241	9380
858	24250	9344
859	24262	9310
860	24271	9274
861	24280	9239
862	24289	9203
863	24298	9168
864	24307	9133
865	24317	9097
866	24326	9062
867	24335	9027
868	24345	8993
869	24354	8958
870	24364	8923
871	24374	8888
872	24386	8855
873	24404	8823
874	24414	8789
875	24423	8754
876	24433	8720
877	24442	8685
878	24451	8651
879	24460	8616
880	24469	8582
881	24478	8547
882	24486	8513
883	24496	8479
884	24507	8446
885	24519	8412
886	24528	8378
887	24536	8344
888	24545	8310
889	24559	8278
890	24571	8245
891	24583	8212
892	24602	8182
893	24612	8149
894	24622	8115
895	24632	8082
896	24642	8049
897	24653	8016
898	24663	7983
899	24674	7950
900	24685	7918
901	24700	7886
902	24713	7854
903	24725	7822
904	24736	7789
905	24749	7758
906	24760	7725
907	24771	7693
908	24782	7661
909	24795	7629
910	24810	7598
911	24823	7566
912	24838	7535
913	24860	7507
914	24882	7478
915	24900	7448
916	24915	7417
917	24942	7390
918	24961	7360
919	24975	7329
920	24986	7297
921	24998	7266
922	25012	7235
923	25023	7203
924	25033	7171
925	25044	7140
926	25055	7108
927	25066	7076
928	25076	7045
929	25087	7013
930	25098	6982
931	25109	6950
932	25119	6919
933	25130	6888
934	25142	6856
935	25157	6826
936	25175	6797
937	25197	6769
938	25211	6739
939	25222	6708
940	25234	6677
941	25246	6646
942	25258	6615
943	25269	6585
944	25280	6554
945	25291	6523
946	25302	6492
947	25313	6461
948	25323	6431
949	25335	6400
950	25345	6369
951	25355	6338
952	25368	6308
953	25385	6279
954	25398	6249
955	25407	6219
956	25418	6188
957	25428	6157
958	25438	6127
959	25449	6097
960	25460	6067
961	25475	6037
962	25485	6007
963	25496	5977
964	25506	5947
965	25516	5916
966	25526	5886
967	25536	5856
968	25545	5826
969	25554	5795
970	25563	5765
971	25574	5735
972	25583	5705
973	25591	5675
974	25601	5645
975	25611	5615
976	25623	5586
977	25636	5557
978	25662	5530
979	25713	5510
980	25740	5483
981	25763	5456
982	25789	5430
983	25810	5403
984	25831	5376
985	25854	5349
986	25876	5322
987	25898	5294
988	25919	5267
989	25943	5241
990	25964	5213
991	25984	5186
992	25999	5158
993	26016	5129
994	26030	5101
995	26044	5072
996	26058	5044
997	26073	5016
998	26087	4987
999	26105	4959
1000	26121	4931
1001	26138	4904
1002	26154	4876
1003	26170	4848
1004	26182	4819
1005	26196	4791
1006	26209	4762
1007	26221	4734
1008	26234	4706
1009	26246	4677
1010	26259	4649
1011	26271	4620
1012	26284	4592
1013	26296	4564
1014	26308	4535
1015	26321	4507
1016	26334	4479
1017	26348	4451
1018	26370	4425
1019	26390	4398
1020	26421	4373
1021	26430	4344
1022	26440	4316
1023	26450	4287
1024	26461	4259
1025	26473	4231
1026	26487	4203
1027	26497	4175
1028	26507	4147
1029	26517	4119
1030	26526	4090
1031	26536	4062
1032	26545	4034
1033	26554	4006
1034	26562	3978
1035	26572	3949
1036	26581	3921
1037	26590	3893
1038	26600	3865
1039	26609	3837
1040	26619	3810
1041	26628	3782
1042	26637	3754
1043	26646	3726
1044	26655	3698
1045	26666	3671
1046	26676	3643
1047	26686	3615
1048	26695	3588
1049	26705	3560
1050	26714	3533
1051	26723	3505
1052	26732	3478
1053	26742	3450
1054	26751	3423
1055	26763	3396
1056	26774	3369
1057	26784	3341
1058	26796	3314
1059	26806	3287
1060	26817	3260
1061	26827	3233
1062	26837	3206
1063	26849	3179
1064	26863	3153
1065	26880	3126
1066	26892	3100
1067	26903	3073
1068	26915	3046
1069	26927	3019
1070	26938	2993
1071	26949	2966
1072	26961	2939
1073	26971	2913
1074	26980	2886
1075	26991	2859
1076	27001	2833
1077	27012	2806
1078	27023	2779
1079	27032	2753
1080	27041	2726
1081	27052	2700
1082	27062	2673
1083	27071	2647
1084	27080	2620
1085	27089	2594
1086	27099	2567
1087	27111	2541
1088	27122	2515
1089	27131	2489
1090	27141	2462
1091	27150	2436
1092	27159	2410
1093	27168	2384
1094	27177	2357
1095	27187	2331
1096	27196	2305
1097	27205	2279
1098	27214	2253
1099	27224	2227
1100	27233	2201
1101	27242	2175
1102	27251	2149
1103	27260	2123
1104	27269	2097
1105	27278	2071
1106	27287	2045
1107	27296	2020
1108	27308	1994
1109	27317	1968
1110	27327	1943
1111	27340	1917
1112	27358	1892
1113	27370	1867
1114	27377	1841
1115	27385	1815
1116	27393	1790
1117	27400	1764
1118	27407	1739
1119	27415	1713
1120	27423	1687
1121	27431	1662
1122	27439	1637
1123	27447	1611
1124	27455	1586
1125	27464	1561
1126	27472	1535
1127	27480	1510
1128	27488	1485
1129	27495	1459
1130	27502	1434
1131	27510	1409
1132	27518	1384
1133	27525	1359
1134	27532	1334
1135	27540	1309
1136	27547	1284
1137	27555	1259
1138	27563	1234
1139	27571	1209
1140	27578	1184
1141	27587	1159
1142	27596	1134
1143	27605	1110
1144	27652	1086
1145	27660	1062
1146	27669	1037
1147	27678	1012
1148	27687	987
1149	27696	963
1150	27704	938
1151	27714	914
1152	27722	889
1153	27736	865
1154	27745	840
1155	27753	816
1156	27763	791
1157	27771	767
1158	27780	743
1159	27789	718
1160	27798	694
1161	27806	670
1162	27817	645
1163	27847	622
1164	27859	597
1165	27867	573
1166	27876	549
1167	27886	525
1168	27898	501
1169	27918	477
1170	27928	453
1171	27937	429
1172	27945	405
1173	27953	380
1174	27962	356
1175	27971	332
1176	27979	309
1177	27988	285
1178	27996	261
1179	28005	237
1180	28013	213
1181	28022	189
1182	28030	165
1183	28039	142
1184	28047	118
1185	28056	94
1186	28064	70
1187	28073	47
1188	28082	23
1189	28091	0
